parcode,trial,rt,choice,item_left,item_right
20,10,1462,1,2,4
20,11,1514,-1,5,0
20,12,1512,1,3,6
20,13,1373,-1,5,5
20,14,1360,1,0,4
20,15,2498,-1,6,6
20,16,1269,-1,4,0
20,17,4295,1,0,0
20,18,1389,-1,5,4
20,19,988,-1,6,2
20,20,1165,1,1,4
20,21,939,-1,7,4
20,22,1451,-1,6,3
20,23,2815,-1,4,4
20,24,1823,1,0,2
20,25,942,-1,6,3
20,26,2146,1,2,6
20,27,761,-1,7,4
20,28,2818,1,2,1
20,29,1256,1,1,4
20,30,1905,-1,5,3
20,31,953,-1,6,3
20,32,1375,-1,0,0
20,33,1029,1,0,3
20,34,1284,-1,2,1
20,35,965,-1,6,2
20,36,1351,-1,2,3
20,37,1728,-1,5,2
20,38,2412,1,1,4
20,39,970,-1,6,5
20,40,1162,-1,4,4
20,41,1822,-1,8,6
20,42,1355,-1,5,5
20,43,1388,-1,4,0
20,44,1376,-1,4,2
20,45,1049,1,3,1
20,46,1101,-1,3,2
20,47,1896,-1,6,3
20,48,1273,1,1,2
20,49,1351,-1,0,0
20,50,1417,-1,5,2
20,51,2267,-1,0,3
20,52,1217,1,3,0
20,53,1240,1,1,6
20,54,1578,1,6,5
20,55,1392,-1,2,1
20,56,1147,-1,4,0
20,57,903,-1,4,0
20,58,2340,1,0,1
20,59,2217,-1,4,2
20,60,1348,-1,3,2
20,61,1347,-1,3,0
20,62,1235,1,6,3
20,63,1263,1,3,6
20,64,1133,-1,2,1
20,65,1049,-1,4,6
20,66,759,1,4,6
20,67,1070,-1,3,0
20,68,1440,-1,6,4
20,69,785,-1,6,5
20,70,1102,1,1,6
20,71,1001,-1,4,0
20,72,1702,-1,6,3
20,73,1929,-1,2,0
20,74,1405,1,2,5
20,75,1496,-1,7,5
20,76,931,1,2,5
20,77,1168,1,0,1
20,78,1385,-1,0,0
20,79,1408,1,2,5
20,80,1153,1,0,3
20,81,2152,1,2,3
20,82,1860,-1,5,3
20,83,1077,-1,2,0
20,84,899,1,0,3
20,85,951,-1,8,9
20,86,1165,-1,4,2
20,87,972,1,3,5
20,88,858,1,3,4
20,89,1327,-1,1,2
20,90,1202,1,3,2
20,91,1037,-1,3,6
20,92,1539,-1,6,5
20,93,890,-1,6,2
20,94,1545,-1,5,4
20,95,946,1,3,4
20,96,935,1,0,5
20,97,870,1,4,5
20,98,844,-1,6,9
20,99,1090,1,1,2
20,100,784,1,1,5
22,1,2882,1,6,2
22,2,1675,-1,3,0
22,3,2113,-1,9,7
22,4,4144,1,4,3
22,5,2248,1,3,5
22,6,3736,-1,3,5
22,7,1532,-1,8,5
22,8,3383,1,7,6
22,9,1926,1,7,8
22,10,1577,1,6,8
22,11,1843,1,3,7
22,12,2910,1,3,7
22,13,3920,1,7,4
22,14,2378,1,4,8
22,15,2078,1,4,7
22,16,1306,-1,7,3
22,17,931,1,7,10
22,18,2107,-1,7,7
22,19,1289,1,6,8
